Src,Type,N,#LLVM-IR Instructions
measure1,orig,32,192
measure1,orig,64,384
measure1,orig,96,576
measure1,orig,128,768
measure1,orig,160,960
measure1,orig,192,1152
measure1,orig,224,1344
measure1,orig,256,1536
measure1,orig,288,1728
measure1,orig,320,1920
measure1,orig,352,2112
measure1,orig,384,2304
measure1,orig,416,2496
measure1,orig,448,2688
measure1,orig,480,2880
measure1,orig,512,3072
measure1,orig,544,3264
measure1,orig,576,3456
measure1,orig,608,3648
measure1,orig,640,3840
measure1,orig,672,4032
measure1,orig,704,4224
measure1,orig,736,4416
measure1,orig,768,4608
measure1,orig,800,4800
measure1,orig,832,4992
measure1,orig,864,5184
measure1,orig,896,5376
measure1,orig,928,5568
measure1,orig,960,5760
measure1,orig,992,5952
measure1,orig,1024,6144
measure1,orig-opt,32,192
measure1,orig-opt,64,384
measure1,orig-opt,96,576
measure1,orig-opt,128,768
measure1,orig-opt,160,960
measure1,orig-opt,192,1152
measure1,orig-opt,224,1344
measure1,orig-opt,256,1536
measure1,orig-opt,288,1728
measure1,orig-opt,320,1920
measure1,orig-opt,352,2112
measure1,orig-opt,384,2304
measure1,orig-opt,416,2496
measure1,orig-opt,448,2688
measure1,orig-opt,480,2880
measure1,orig-opt,512,3072
measure1,orig-opt,544,3264
measure1,orig-opt,576,3456
measure1,orig-opt,608,3648
measure1,orig-opt,640,3840
measure1,orig-opt,672,4032
measure1,orig-opt,704,4224
measure1,orig-opt,736,4416
measure1,orig-opt,768,4608
measure1,orig-opt,800,4800
measure1,orig-opt,832,4992
measure1,orig-opt,864,5184
measure1,orig-opt,896,5376
measure1,orig-opt,928,5568
measure1,orig-opt,960,5760
measure1,orig-opt,992,5952
measure1,orig-opt,1024,6144
measure1,isochr,32,728
measure1,isochr,64,1464
measure1,isochr,96,2200
measure1,isochr,128,2936
measure1,isochr,160,3672
measure1,isochr,192,4408
measure1,isochr,224,5144
measure1,isochr,256,5880
measure1,isochr,288,6616
measure1,isochr,320,7352
measure1,isochr,352,8088
measure1,isochr,384,8824
measure1,isochr,416,9560
measure1,isochr,448,10296
measure1,isochr,480,11032
measure1,isochr,512,11768
measure1,isochr,544,12504
measure1,isochr,576,13240
measure1,isochr,608,13976
measure1,isochr,640,14712
measure1,isochr,672,15448
measure1,isochr,704,16184
measure1,isochr,736,16920
measure1,isochr,768,17656
measure1,isochr,800,18392
measure1,isochr,832,19128
measure1,isochr,864,19864
measure1,isochr,896,20600
measure1,isochr,928,21336
measure1,isochr,960,22072
measure1,isochr,992,22808
measure1,isochr,1024,23544
measure1,isochr-opt,32,468
measure1,isochr-opt,64,948
measure1,isochr-opt,96,1428
measure1,isochr-opt,128,1908
measure1,isochr-opt,160,2388
measure1,isochr-opt,192,2868
measure1,isochr-opt,224,3348
measure1,isochr-opt,256,3828
measure1,isochr-opt,288,4308
measure1,isochr-opt,320,4788
measure1,isochr-opt,352,5268
measure1,isochr-opt,384,5748
measure1,isochr-opt,416,6228
measure1,isochr-opt,448,6708
measure1,isochr-opt,480,7188
measure1,isochr-opt,512,7668
measure1,isochr-opt,544,8148
measure1,isochr-opt,576,8628
measure1,isochr-opt,608,9108
measure1,isochr-opt,640,9588
measure1,isochr-opt,672,10068
measure1,isochr-opt,704,10548
measure1,isochr-opt,736,11028
measure1,isochr-opt,768,11508
measure1,isochr-opt,800,11988
measure1,isochr-opt,832,12468
measure1,isochr-opt,864,12948
measure1,isochr-opt,896,13428
measure1,isochr-opt,928,13908
measure1,isochr-opt,960,14388
measure1,isochr-opt,992,14868
measure1,isochr-opt,1024,15348
measure2,orig,32,192
measure2,orig,64,384
measure2,orig,96,576
measure2,orig,128,768
measure2,orig,160,960
measure2,orig,192,1152
measure2,orig,224,1344
measure2,orig,256,1536
measure2,orig,288,1728
measure2,orig,320,1920
measure2,orig,352,2112
measure2,orig,384,2304
measure2,orig,416,2496
measure2,orig,448,2688
measure2,orig,480,2880
measure2,orig,512,3072
measure2,orig,544,3264
measure2,orig,576,3456
measure2,orig,608,3648
measure2,orig,640,3840
measure2,orig,672,4032
measure2,orig,704,4224
measure2,orig,736,4416
measure2,orig,768,4608
measure2,orig,800,4800
measure2,orig,832,4992
measure2,orig,864,5184
measure2,orig,896,5376
measure2,orig,928,5568
measure2,orig,960,5760
measure2,orig,992,5952
measure2,orig,1024,6144
measure2,orig-opt,32,192
measure2,orig-opt,64,384
measure2,orig-opt,96,576
measure2,orig-opt,128,768
measure2,orig-opt,160,960
measure2,orig-opt,192,1152
measure2,orig-opt,224,1344
measure2,orig-opt,256,1536
measure2,orig-opt,288,1728
measure2,orig-opt,320,1920
measure2,orig-opt,352,2112
measure2,orig-opt,384,2304
measure2,orig-opt,416,2496
measure2,orig-opt,448,2688
measure2,orig-opt,480,2880
measure2,orig-opt,512,3072
measure2,orig-opt,544,3264
measure2,orig-opt,576,3456
measure2,orig-opt,608,3648
measure2,orig-opt,640,3840
measure2,orig-opt,672,4032
measure2,orig-opt,704,4224
measure2,orig-opt,736,4416
measure2,orig-opt,768,4608
measure2,orig-opt,800,4800
measure2,orig-opt,832,4992
measure2,orig-opt,864,5184
measure2,orig-opt,896,5376
measure2,orig-opt,928,5568
measure2,orig-opt,960,5760
measure2,orig-opt,992,5952
measure2,orig-opt,1024,6144
measure2,isochr,32,728
measure2,isochr,64,1464
measure2,isochr,96,2200
measure2,isochr,128,2936
measure2,isochr,160,3672
measure2,isochr,192,4408
measure2,isochr,224,5144
measure2,isochr,256,5880
measure2,isochr,288,6616
measure2,isochr,320,7352
measure2,isochr,352,8088
measure2,isochr,384,8824
measure2,isochr,416,9560
measure2,isochr,448,10296
measure2,isochr,480,11032
measure2,isochr,512,11768
measure2,isochr,544,12504
measure2,isochr,576,13240
measure2,isochr,608,13976
measure2,isochr,640,14712
measure2,isochr,672,15448
measure2,isochr,704,16184
measure2,isochr,736,16920
measure2,isochr,768,17656
measure2,isochr,800,18392
measure2,isochr,832,19128
measure2,isochr,864,19864
measure2,isochr,896,20600
measure2,isochr,928,21336
measure2,isochr,960,22072
measure2,isochr,992,22808
measure2,isochr,1024,23544
measure2,isochr-opt,32,468
measure2,isochr-opt,64,948
measure2,isochr-opt,96,1428
measure2,isochr-opt,128,1908
measure2,isochr-opt,160,2388
measure2,isochr-opt,192,2868
measure2,isochr-opt,224,3348
measure2,isochr-opt,256,3828
measure2,isochr-opt,288,4308
measure2,isochr-opt,320,4788
measure2,isochr-opt,352,5268
measure2,isochr-opt,384,5748
measure2,isochr-opt,416,6228
measure2,isochr-opt,448,6708
measure2,isochr-opt,480,7188
measure2,isochr-opt,512,7668
measure2,isochr-opt,544,8148
measure2,isochr-opt,576,8628
measure2,isochr-opt,608,9108
measure2,isochr-opt,640,9588
measure2,isochr-opt,672,10068
measure2,isochr-opt,704,10548
measure2,isochr-opt,736,11028
measure2,isochr-opt,768,11508
measure2,isochr-opt,800,11988
measure2,isochr-opt,832,12468
measure2,isochr-opt,864,12948
measure2,isochr-opt,896,13428
measure2,isochr-opt,928,13908
measure2,isochr-opt,960,14388
measure2,isochr-opt,992,14868
measure2,isochr-opt,1024,15348
