      Src,       Type,    N,     Mean, Median,      Std, #Outliers
 measure1,       orig,   32, 1174.633, 1169.0,   88.025,         3
 measure1,       orig,   64, 1184.297, 1185.0,    69.91,         3
 measure1,       orig,   96, 1203.222, 1196.0,   75.151,        10
 measure1,       orig,  128, 1280.861, 1275.0,   88.699,        12
 measure1,       orig,  160, 1350.467, 1350.0,  100.192,        18
 measure1,       orig,  192, 1330.783, 1323.0,   95.169,         7
 measure1,       orig,  224, 1359.297, 1351.5,     81.6,        12
 measure1,       orig,  256, 1473.968, 1462.0,  100.075,         7
 measure1,       orig,  288, 1547.741, 1539.0,  115.122,         9
 measure1,       orig,  320, 1717.844, 1700.0,  142.279,        13
 measure1,       orig,  352, 1658.543, 1645.0,  116.382,        11
 measure1,       orig,  384, 1739.662, 1722.0,  153.976,        15
 measure1,       orig,  416, 1646.787, 1635.0,  123.341,        13
 measure1,       orig,  448, 1720.833, 1701.0,  140.237,        13
 measure1,       orig,  480, 1778.453, 1762.0,  129.059,        14
 measure1,       orig,  512, 1874.151, 1861.0,  158.681,         7
 measure1,       orig,  544, 1943.506, 1907.0,  210.809,        12
 measure1,       orig,  576, 2051.053, 2045.0,  128.953,        19
 measure1,       orig,  608, 2019.497, 2003.0,  170.118,        21
 measure1,       orig,  640, 2229.723, 2212.0,  150.776,        20
 measure1,       orig,  672, 2098.308, 2083.0,  149.534,        18
 measure1,       orig,  704,  2070.81, 2056.0,  152.914,        12
 measure1,       orig,  736, 2257.083, 2217.0,  234.939,         1
 measure1,       orig,  768, 2076.882, 2052.0,  176.103,        20
 measure1,       orig,  800, 2470.263, 2454.5,  193.557,        28
 measure1,       orig,  832, 2360.679, 2351.0,  181.061,        20
 measure1,       orig,  864,  2338.77, 2308.0,  186.526,        15
 measure1,       orig,  896, 2418.456, 2394.0,  188.645,        21
 measure1,       orig,  928, 2475.214, 2449.0,  202.282,        17
 measure1,       orig,  960, 2497.025, 2473.5,  202.531,        16
 measure1,       orig,  992, 2794.569, 2774.0,  247.373,        24
 measure1,       orig, 1024, 2373.205, 2348.0,  178.076,        20
 measure1,   orig-opt,   32, 1157.812, 1158.0,   70.227,         6
 measure1,   orig-opt,   64, 1145.528, 1146.0,   67.594,        11
 measure1,   orig-opt,   96,  1144.06, 1144.0,   76.003,         9
 measure1,   orig-opt,  128, 1211.325, 1173.5,  206.269,        10
 measure1,   orig-opt,  160, 1163.305, 1143.0,  123.995,        23
 measure1,   orig-opt,  192, 1180.147, 1174.0,    93.57,        13
 measure1,   orig-opt,  224, 1183.672, 1175.0,  101.189,         4
 measure1,   orig-opt,  256, 1169.796, 1166.0,   86.444,        16
 measure1,   orig-opt,  288, 1163.243, 1158.5,   77.829,         8
 measure1,   orig-opt,  320, 1149.923, 1146.0,    85.25,         8
