Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main1.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main1.c,rijndaelKeySetupEnc,isochr,4.337,19,19,1.283,2,2,430,4,4
main1.c,rijndaelKeySetupEnc,isochr-opt,2.541,12,12,891,2,2,325,2,2
main1.c,rijndaelEncrypt,orig,18.390,5,5,6.810,3,3,660,1,1
main1.c,rijndaelEncrypt,orig-opt,18.840,5,5,7.530,5,5,1.380,1,1
main1.c,rijndaelEncrypt,isochr,50.340,7,7,12.750,3,3,3.210,0,0
main1.c,rijndaelEncrypt,isochr-opt,29.460,5,5,10.830,5,5,2.190,0,0
main2.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main2.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main2.c,rijndaelKeySetupEnc,isochr,4.337,19,19,1.283,2,2,430,4,4
main2.c,rijndaelKeySetupEnc,isochr-opt,2.541,12,12,891,2,2,325,2,2
main2.c,rijndaelEncrypt,orig,21.660,5,5,8.160,3,3,810,1,1
main2.c,rijndaelEncrypt,orig-opt,22.200,5,5,8.910,5,5,1.500,1,1
main2.c,rijndaelEncrypt,isochr,50.340,7,7,12.750,3,3,3.210,0,0
main2.c,rijndaelEncrypt,isochr-opt,29.460,5,5,10.830,5,5,2.190,0,0
main3.c,rijndaelKeySetupEnc,orig,302,3,3,51,2,2,46,1,1
main3.c,rijndaelKeySetupEnc,orig-opt,301,3,3,54,2,2,50,1,1
main3.c,rijndaelKeySetupEnc,isochr,4.337,19,19,1.283,2,2,430,4,4
main3.c,rijndaelKeySetupEnc,isochr-opt,2.541,12,12,891,2,2,325,2,2
main3.c,rijndaelEncrypt,orig,24.600,5,5,9.390,3,3,840,1,1
main3.c,rijndaelEncrypt,orig-opt,25.350,5,5,10.260,5,5,1.620,1,1
main3.c,rijndaelEncrypt,isochr,50.340,7,7,12.750,3,3,3.210,0,0
main3.c,rijndaelEncrypt,isochr-opt,29.460,5,5,10.830,5,5,2.190,0,0
