Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main1.c,twy_enc,orig-opt,32,6,6,5,1,1,8,1,1
main1.c,twy_enc,isochr,68,10,10,14,2,2,17,2,2
main1.c,twy_enc,isochr-opt,43,7,7,7,2,2,10,2,2
main1.c,twy_dec,orig,55,10,10,10,4,4,13,2,2
main1.c,twy_dec,orig-opt,54,8,8,10,2,2,13,1,1
main1.c,twy_dec,isochr,136,22,22,28,4,4,34,2,2
main1.c,twy_dec,isochr-opt,86,14,14,14,4,4,20,2,2
main1.c,mu,orig,3.129,550,549,2.329,16,16,49,5,5
main1.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main1.c,mu,isochr,29.354,3.263,3.263,7.176,755,729,6.357,968,938
main1.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.136,3.328,1.503,1.503
main2.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main2.c,twy_enc,orig-opt,32,7,7,5,1,1,8,1,1
main2.c,twy_enc,isochr,68,10,10,14,2,2,17,2,2
main2.c,twy_enc,isochr-opt,43,7,7,7,2,2,10,2,2
main2.c,twy_dec,orig,55,11,11,10,4,4,13,2,2
main2.c,twy_dec,orig-opt,54,11,11,10,2,2,13,1,1
main2.c,twy_dec,isochr,136,22,22,28,4,4,34,2,2
main2.c,twy_dec,isochr-opt,86,14,14,14,4,4,20,2,2
main2.c,mu,orig,3.177,569,569,2.372,16,16,49,5,5
main2.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main2.c,mu,isochr,29.354,3.263,3.263,7.176,755,729,6.357,968,938
main2.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.136,3.328,1.503,1.503
main3.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main3.c,twy_enc,orig-opt,32,7,7,5,1,1,8,1,1
main3.c,twy_enc,isochr,68,11,11,14,2,2,17,2,2
main3.c,twy_enc,isochr-opt,43,6,6,7,2,2,10,2,2
main3.c,twy_dec,orig,55,11,11,10,4,4,13,2,2
main3.c,twy_dec,orig-opt,54,11,11,10,2,2,13,1,1
main3.c,twy_dec,isochr,136,20,20,28,4,4,34,2,2
main3.c,twy_dec,isochr-opt,86,12,12,14,4,4,20,2,2
main3.c,mu,orig,3.195,587,586,2.387,16,16,49,5,5
main3.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main3.c,mu,isochr,29.354,3.263,3.263,7.176,755,747,6.357,968,950
main3.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.124,3.328,1.503,1.499
main4.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main4.c,twy_enc,orig-opt,32,6,6,5,1,1,8,1,1
main4.c,twy_enc,isochr,68,11,11,14,2,2,17,2,2
main4.c,twy_enc,isochr-opt,43,6,6,7,2,2,10,2,2
main4.c,twy_dec,orig,55,10,10,10,4,4,13,2,2
main4.c,twy_dec,orig-opt,54,8,8,10,2,2,13,1,1
main4.c,twy_dec,isochr,136,20,20,28,4,4,34,2,2
main4.c,twy_dec,isochr-opt,86,12,12,14,4,4,20,2,2
main4.c,mu,orig,3.213,596,595,2.401,16,16,49,5,5
main4.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main4.c,mu,isochr,29.354,3.263,3.263,7.176,755,747,6.357,968,950
main4.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.124,3.328,1.503,1.499
