Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,deskey,orig,9.904,1.702,1.702,4.239,1.967,1.965,987,361,361
main1.c,deskey,orig-opt,11.145,1.909,1.909,4.446,2.076,2.068,1.703,492,492
main1.c,deskey,isochr,46.329,6.113,6.113,8.356,3.690,3.688,7.789,2.256,2.255
main1.c,deskey,isochr-opt,20.094,2.722,2.722,6.838,3.137,3.135,1.894,84,84
main1.c,cpkey,orig,68,14,14,34,10,10,33,9,9
main1.c,cpkey,orig-opt,68,14,14,34,10,10,33,9,9
main1.c,cpkey,isochr,66,14,14,33,10,10,33,9,9
main1.c,cpkey,isochr-opt,65,13,13,33,10,10,32,9,9
main1.c,scrunch,orig,32,4,4,10,1,1,9,1,1
main1.c,scrunch,orig-opt,32,4,4,10,1,1,9,0,0
main1.c,scrunch,isochr,30,4,4,9,1,1,9,1,1
main1.c,scrunch,isochr-opt,29,4,4,9,1,1,8,0,0
main1.c,desfunc,orig,678,95,95,164,151,151,3,1,1
main1.c,desfunc,orig-opt,678,95,95,164,150,150,3,1,1
main1.c,desfunc,isochr,676,95,95,163,151,151,3,1,1
main1.c,desfunc,isochr-opt,675,95,95,163,150,150,2,1,1
main1.c,unscrun,orig,20,2,2,10,0,0,9,1,1
main1.c,unscrun,orig-opt,20,2,2,10,0,0,9,1,1
main1.c,unscrun,isochr,18,2,2,9,0,0,9,1,1
main1.c,unscrun,isochr-opt,17,1,1,9,0,0,8,1,1
main2.c,deskey,orig,9.830,1.702,1.702,4.165,1.851,1.847,987,361,361
main2.c,deskey,orig-opt,11.071,1.909,1.909,4.372,1.990,1.979,1.703,488,488
main2.c,deskey,isochr,46.329,6.113,6.113,8.356,3.690,3.688,7.789,2.256,2.255
main2.c,deskey,isochr-opt,20.094,2.722,2.722,6.838,3.137,3.135,1.894,84,84
main2.c,cpkey,orig,68,14,14,34,10,10,33,9,9
main2.c,cpkey,orig-opt,68,14,14,34,10,10,33,9,9
main2.c,cpkey,isochr,66,14,14,33,10,10,33,9,9
main2.c,cpkey,isochr-opt,65,13,13,33,10,10,32,9,9
main2.c,scrunch,orig,32,4,4,10,1,1,9,1,1
main2.c,scrunch,orig-opt,32,4,4,10,1,1,9,0,0
main2.c,scrunch,isochr,30,4,4,9,1,1,9,1,1
main2.c,scrunch,isochr-opt,29,4,4,9,1,1,8,0,0
main2.c,desfunc,orig,678,95,95,164,155,155,3,1,1
main2.c,desfunc,orig-opt,678,95,95,164,154,154,3,1,1
main2.c,desfunc,isochr,676,95,95,163,155,155,3,1,1
main2.c,desfunc,isochr-opt,675,95,95,163,154,154,2,1,1
main2.c,unscrun,orig,20,2,2,10,0,0,9,1,1
main2.c,unscrun,orig-opt,20,2,2,10,0,0,9,1,1
main2.c,unscrun,isochr,18,2,2,9,0,0,9,1,1
main2.c,unscrun,isochr-opt,17,1,1,9,0,0,8,1,1
